user_id,signup_date,country,device_type,traffic_source
181,2023-08-15,Australia,desktop,organic_search
182,2023-01-03,Australia,tablet,facebook_ads
183,2023-09-13,US,mobile,facebook_ads
184,2024-04-01,Brazil,desktop,referral
185,2024-02-07,UK,tablet,facebook_ads
186,2023-09-05,UK,desktop,organic_search
187,2024-02-28,Singapore,mobile,direct
188,2024-02-21,UK,tablet,referral
189,2023-03-11,US,tablet,organic_search
190,2024-04-28,UK,desktop,facebook_ads
191,2024-05-05,UK,desktop,email
192,2023-04-12,Singapore,mobile,facebook_ads
193,2023-12-06,Australia,tablet,facebook_ads
194,2023-09-12,UK,mobile,organic_search
195,2023-08-26,Australia,desktop,google_ads
196,2023-11-16,US,mobile,facebook_ads
197,2023-06-09,UK,tablet,google_ads
198,2023-06-19,Australia,desktop,email
199,2024-06-05,Brazil,mobile,facebook_ads
200,2023-12-05,Brazil,mobile,organic_search
201,2023-12-22,Australia,desktop,direct
202,2023-06-04,Canada,desktop,referral
203,2024-04-04,Singapore,tablet,email
204,2023-08-08,Brazil,mobile,email
205,2023-11-12,Singapore,desktop,email
206,2024-02-14,Brazil,tablet,direct
207,2024-04-19,Canada,tablet,direct
208,2024-05-31,Brazil,mobile,organic_search
209,2024-04-13,Germany,tablet,organic_search
210,2023-01-26,US,tablet,google_ads
211,2023-01-25,UK,mobile,referral
212,2023-10-26,UK,mobile,email
213,2024-05-03,US,tablet,referral
214,2023-09-15,Singapore,mobile,referral
215,2023-08-13,Germany,desktop,direct
216,2024-01-06,Singapore,desktop,direct
217,2024-01-29,Australia,mobile,facebook_ads
218,2023-11-03,India,tablet,referral
219,2024-01-06,India,desktop,google_ads
220,2023-11-22,UK,desktop,organic_search
221,2023-05-11,US,desktop,organic_search
222,2023-01-30,US,mobile,referral
223,2023-03-03,US,tablet,facebook_ads
224,2023-07-12,India,desktop,google_ads
225,2023-07-03,US,desktop,direct
226,2023-09-06,Canada,tablet,google_ads
227,2023-04-13,UK,mobile,direct
228,2023-12-30,Singapore,mobile,google_ads
229,2023-06-28,US,mobile,direct
230,2024-02-09,UK,desktop,direct
231,2023-09-02,Germany,mobile,google_ads
232,2023-11-13,UK,tablet,google_ads
233,2023-12-26,Canada,mobile,facebook_ads
234,2023-01-10,India,tablet,email
235,2023-01-23,Australia,desktop,facebook_ads
236,2023-01-20,Australia,tablet,organic_search
237,2023-01-20,Australia,desktop,google_ads
238,2023-06-18,Singapore,mobile,referral
239,2023-05-09,Germany,desktop,facebook_ads
240,2023-02-15,UK,tablet,facebook_ads
241,2024-05-22,UK,desktop,facebook_ads
242,2023-08-26,UK,desktop,referral
243,2024-03-27,India,mobile,direct
244,2023-08-22,India,desktop,google_ads
245,2023-06-15,Singapore,desktop,organic_search
246,2023-06-16,UK,mobile,referral
247,2023-01-27,Germany,desktop,referral
248,2023-10-09,Singapore,mobile,referral
249,2023-12-13,Germany,desktop,google_ads
250,2023-01-02,Canada,desktop,direct
251,2023-04-16,UK,desktop,google_ads
252,2023-01-09,Canada,mobile,google_ads
253,2024-02-14,UK,desktop,organic_search
254,2023-12-14,UK,tablet,facebook_ads
255,2023-11-01,Singapore,tablet,facebook_ads
256,2024-06-12,Australia,desktop,direct
257,2023-05-08,Germany,tablet,email
258,2024-03-14,Singapore,tablet,organic_search
259,2023-02-11,US,mobile,email
260,2024-04-11,Germany,tablet,direct
261,2023-03-25,UK,mobile,organic_search
262,2024-03-30,Singapore,mobile,organic_search
263,2023-01-01,Australia,tablet,direct
264,2023-06-05,Singapore,tablet,facebook_ads
265,2024-06-09,India,mobile,referral
266,2023-07-25,Germany,tablet,facebook_ads
267,2024-05-30,India,tablet,facebook_ads
268,2023-10-12,Canada,tablet,email
269,2023-06-03,UK,tablet,email
270,2023-03-01,Canada,tablet,organic_search
271,2024-02-11,Germany,mobile,facebook_ads
272,2023-03-12,India,mobile,google_ads
273,2023-01-29,Germany,desktop,facebook_ads
274,2024-02-23,India,desktop,organic_search
275,2023-10-25,Canada,desktop,referral
276,2024-06-07,US,mobile,referral
277,2023-12-20,Canada,mobile,google_ads
278,2023-02-18,Brazil,tablet,direct
279,2023-02-19,India,tablet,direct
280,2023-05-04,Canada,tablet,direct
281,2024-03-15,UK,desktop,facebook_ads
282,2024-03-07,Brazil,tablet,referral
283,2023-07-30,UK,mobile,google_ads
284,2023-11-28,US,desktop,email
285,2023-06-07,Australia,tablet,email
286,2023-03-24,Canada,desktop,google_ads
287,2024-05-28,Australia,desktop,referral
288,2024-06-14,UK,tablet,google_ads
289,2023-01-16,Canada,tablet,referral
290,2023-01-06,Germany,desktop,email
291,2023-06-20,UK,mobile,email
292,2024-02-03,Germany,mobile,facebook_ads
293,2023-07-13,India,desktop,email
294,2023-05-31,UK,mobile,referral
295,2023-07-17,Australia,desktop,facebook_ads
296,2024-06-05,Singapore,desktop,email
297,2024-02-18,Brazil,desktop,email
298,2023-10-23,Singapore,tablet,email
299,2024-04-19,US,tablet,referral
300,2024-06-12,Australia,desktop,organic_search
301,2023-09-15,Germany,mobile,direct
302,2023-04-06,US,tablet,facebook_ads
303,2023-06-02,Australia,tablet,organic_search
304,2023-08-07,India,desktop,google_ads
305,2024-02-16,Brazil,mobile,email
306,2023-09-30,Germany,tablet,email
307,2023-03-06,Germany,tablet,email
308,2023-04-24,Singapore,tablet,direct
309,2023-07-25,US,tablet,direct
310,2023-11-04,US,tablet,email
311,2023-11-12,Canada,desktop,email
312,2023-03-03,UK,mobile,organic_search
313,2023-12-30,US,mobile,facebook_ads
314,2024-05-19,Germany,tablet,direct
315,2023-11-20,US,mobile,google_ads
316,2023-12-30,Canada,desktop,referral
317,2024-01-01,Singapore,mobile,direct
318,2023-05-22,Canada,desktop,email
319,2023-06-04,Germany,tablet,organic_search
320,2024-05-04,Germany,tablet,facebook_ads
321,2023-10-20,Canada,desktop,email
322,2023-08-02,Brazil,mobile,email
323,2023-12-24,Australia,mobile,organic_search
324,2023-03-07,India,mobile,email
325,2023-05-02,Singapore,tablet,email
326,2023-04-26,Australia,mobile,referral
327,2024-04-04,India,desktop,facebook_ads
328,2024-01-29,Canada,tablet,organic_search
329,2024-05-10,Germany,desktop,facebook_ads
330,2023-01-08,Australia,desktop,facebook_ads
331,2023-03-21,Germany,tablet,referral
332,2023-08-29,Germany,desktop,referral
333,2023-01-27,Singapore,mobile,email
334,2023-10-28,Germany,mobile,email
335,2023-02-28,Canada,desktop,email
336,2024-05-20,Canada,desktop,referral
337,2023-03-12,Australia,mobile,facebook_ads
338,2023-05-08,Brazil,mobile,organic_search
339,2023-09-24,UK,tablet,email
340,2023-01-15,Singapore,mobile,email
341,2023-06-06,UK,mobile,direct
342,2023-10-01,Brazil,tablet,organic_search
343,2024-06-10,Brazil,mobile,google_ads
344,2023-12-11,India,tablet,google_ads
345,2023-01-19,India,tablet,direct
346,2024-01-19,India,tablet,referral
347,2023-04-12,Germany,tablet,email
348,2023-11-28,Brazil,desktop,google_ads
349,2023-06-18,Singapore,tablet,google_ads
350,2023-02-21,Brazil,tablet,organic_search
351,2023-06-20,Germany,tablet,email
352,2023-08-12,Brazil,mobile,organic_search
353,2024-01-29,India,desktop,referral
354,2023-02-23,Singapore,tablet,referral
355,2024-05-05,US,mobile,facebook_ads
356,2023-06-28,Germany,tablet,facebook_ads
357,2024-04-13,UK,desktop,facebook_ads
358,2023-01-30,Australia,mobile,direct
359,2023-10-14,Australia,mobile,google_ads
360,2023-12-28,India,desktop,referral
361,2024-02-11,UK,tablet,organic_search
362,2023-05-11,Australia,tablet,organic_search
363,2023-03-05,India,desktop,organic_search
364,2024-06-15,Canada,desktop,direct
365,2023-05-16,Canada,desktop,direct
366,2023-06-17,Brazil,tablet,direct
367,2023-01-23,Canada,mobile,organic_search
368,2023-05-08,US,tablet,email
369,2023-08-16,Brazil,desktop,direct
370,2023-06-04,Australia,tablet,email
371,2024-05-12,UK,mobile,organic_search
372,2024-05-02,Germany,mobile,referral
373,2023-04-09,Canada,desktop,email
374,2023-10-08,Canada,desktop,google_ads
375,2023-12-05,Canada,desktop,organic_search
376,2023-11-15,Australia,tablet,facebook_ads
377,2024-01-25,Germany,mobile,email
378,2023-08-30,Australia,desktop,direct
379,2023-04-16,Australia,desktop,organic_search
380,2023-01-07,Australia,desktop,organic_search
381,2023-08-13,US,tablet,facebook_ads
382,2024-01-19,US,mobile,direct
383,2024-01-17,Australia,desktop,referral
384,2023-11-18,UK,mobile,email
385,2024-04-03,Brazil,desktop,google_ads
386,2024-03-18,UK,desktop,facebook_ads
387,2023-09-27,US,tablet,organic_search
388,2023-02-14,Australia,tablet,referral
389,2023-01-08,UK,tablet,google_ads
390,2024-03-20,Canada,mobile,referral
391,2023-03-20,Brazil,desktop,google_ads
392,2023-08-06,Canada,mobile,direct
393,2023-02-24,Australia,desktop,direct
394,2023-02-15,India,desktop,google_ads
395,2023-09-14,Canada,desktop,email
396,2023-05-13,Brazil,mobile,referral
397,2023-07-08,US,tablet,email
398,2023-01-31,Australia,desktop,facebook_ads
399,2024-04-11,US,desktop,google_ads
400,2024-03-23,Canada,tablet,organic_search
401,2023-06-30,Canada,mobile,organic_search
402,2023-10-30,India,mobile,facebook_ads
403,2023-04-27,Singapore,tablet,email
404,2023-10-04,India,tablet,facebook_ads
405,2024-05-29,Singapore,mobile,referral
406,2023-02-26,Singapore,mobile,facebook_ads
407,2023-01-27,US,mobile,facebook_ads
408,2023-09-07,Germany,tablet,referral
409,2023-08-29,Canada,desktop,direct
410,2023-07-29,Canada,tablet,referral
411,2023-03-31,Australia,mobile,email
412,2023-12-04,Australia,tablet,direct
413,2023-11-11,UK,desktop,referral
414,2023-10-04,Brazil,desktop,facebook_ads
415,2023-02-20,Canada,tablet,google_ads
416,2023-07-23,US,tablet,referral
417,2024-03-25,Singapore,desktop,facebook_ads
418,2023-01-12,Australia,desktop,email
419,2023-03-11,Canada,mobile,referral
420,2023-05-09,UK,desktop,organic_search
421,2023-10-18,Germany,mobile,google_ads
422,2023-03-29,US,desktop,direct
423,2023-02-26,India,desktop,email
424,2023-09-20,US,tablet,email
425,2023-07-02,Canada,desktop,email
426,2024-01-06,Australia,tablet,referral
427,2023-05-01,Germany,mobile,organic_search
428,2023-03-23,Singapore,tablet,organic_search
429,2023-12-22,Germany,desktop,organic_search
430,2023-11-20,India,tablet,facebook_ads
431,2024-05-22,Germany,desktop,organic_search
432,2023-11-30,Brazil,desktop,direct
433,2024-06-16,UK,mobile,facebook_ads
434,2023-03-14,India,desktop,facebook_ads
435,2023-09-01,Brazil,desktop,facebook_ads
436,2023-10-23,Canada,desktop,email
437,2023-07-16,Singapore,desktop,google_ads
438,2024-01-06,Brazil,tablet,referral
439,2023-10-26,US,desktop,facebook_ads
440,2024-05-15,UK,tablet,google_ads
441,2023-05-15,Singapore,desktop,google_ads
442,2023-11-22,India,tablet,google_ads
443,2024-02-23,Germany,tablet,organic_search
444,2024-03-02,Canada,mobile,organic_search
445,2023-02-23,UK,tablet,referral
446,2023-02-20,Australia,mobile,google_ads
447,2024-02-04,Australia,desktop,organic_search
448,2023-06-27,Canada,tablet,referral
449,2023-02-08,India,tablet,google_ads
450,2024-05-20,Brazil,desktop,referral
451,2023-07-03,UK,tablet,facebook_ads
452,2023-11-17,Brazil,mobile,google_ads
453,2024-04-16,Brazil,desktop,email
454,2024-01-31,Canada,tablet,facebook_ads
455,2023-08-28,Brazil,tablet,direct
456,2023-10-28,Germany,tablet,email
457,2024-05-05,US,tablet,google_ads
458,2024-03-15,India,mobile,direct
459,2024-01-06,Singapore,mobile,direct
460,2023-05-28,Canada,desktop,facebook_ads
461,2023-07-18,India,tablet,facebook_ads
462,2024-04-10,Brazil,tablet,direct
463,2023-12-28,Canada,desktop,facebook_ads
464,2024-01-11,Canada,mobile,direct
465,2023-07-11,US,desktop,direct
466,2023-02-12,Brazil,desktop,referral
467,2023-05-19,Canada,tablet,direct
468,2023-12-09,Germany,tablet,referral
469,2024-02-21,Germany,desktop,email
470,2024-06-20,India,desktop,facebook_ads
471,2023-10-29,Germany,mobile,email
472,2024-04-28,Canada,desktop,email
473,2024-02-25,Singapore,mobile,email
474,2023-07-24,India,desktop,google_ads
475,2024-03-06,US,tablet,organic_search
476,2024-03-20,Australia,mobile,referral
477,2023-11-14,Germany,tablet,referral
478,2023-03-18,Brazil,mobile,facebook_ads
479,2023-01-14,Australia,desktop,email
480,2023-02-19,Germany,mobile,referral
481,2023-03-18,Brazil,tablet,email
482,2023-06-29,Germany,desktop,facebook_ads
483,2023-10-24,India,desktop,organic_search
484,2023-05-23,US,desktop,email
485,2023-03-26,Canada,desktop,facebook_ads
486,2023-06-24,Canada,desktop,organic_search
487,2024-04-08,US,tablet,google_ads
488,2023-02-28,Brazil,tablet,google_ads
489,2024-01-01,Canada,mobile,direct
490,2023-06-11,Australia,desktop,direct
491,2024-06-08,UK,tablet,direct
492,2024-06-20,UK,tablet,google_ads
493,2023-03-21,UK,mobile,email
494,2024-02-29,Brazil,tablet,facebook_ads
495,2024-02-19,Brazil,desktop,direct
496,2023-12-04,Germany,tablet,referral
497,2023-05-28,India,tablet,direct
498,2024-04-20,Canada,desktop,direct
499,2024-06-03,Germany,desktop,direct
500,2024-01-27,US,tablet,google_ads
501,2023-01-02,US,mobile,direct
502,2023-06-13,India,tablet,direct
503,2024-01-29,Singapore,desktop,organic_search
504,2023-03-07,Germany,mobile,organic_search
505,2023-11-10,Brazil,mobile,direct
506,2023-02-14,Canada,mobile,direct
507,2023-05-28,Singapore,tablet,facebook_ads
508,2023-03-23,Germany,desktop,direct
509,2023-10-19,Brazil,desktop,organic_search
510,2023-03-06,UK,desktop,organic_search
511,2024-06-22,Singapore,mobile,direct
512,2023-05-29,Canada,tablet,direct
513,2023-07-28,Germany,mobile,facebook_ads
514,2023-01-21,UK,desktop,facebook_ads
515,2023-12-25,Australia,desktop,facebook_ads
516,2024-02-16,India,tablet,google_ads
517,2024-01-29,Australia,desktop,facebook_ads
518,2024-05-07,UK,mobile,direct
519,2024-03-26,Germany,tablet,organic_search
520,2023-08-28,Australia,desktop,facebook_ads
521,2023-07-30,Australia,desktop,facebook_ads
522,2023-01-17,Singapore,desktop,referral
523,2023-01-11,India,desktop,direct
524,2023-04-02,US,tablet,email
525,2023-05-30,UK,mobile,referral
526,2024-06-16,Germany,desktop,organic_search
527,2024-04-10,Australia,tablet,facebook_ads
528,2024-05-13,UK,mobile,direct
529,2023-12-08,UK,mobile,direct
530,2023-03-05,Australia,desktop,organic_search
531,2023-02-08,UK,tablet,google_ads
532,2023-01-22,India,tablet,email
533,2024-02-19,Brazil,desktop,organic_search
534,2024-02-28,Brazil,tablet,facebook_ads
535,2024-05-17,Germany,desktop,organic_search
536,2023-12-14,Australia,tablet,organic_search
537,2023-02-17,Canada,tablet,facebook_ads
538,2023-04-26,India,desktop,google_ads
539,2023-06-24,Singapore,mobile,google_ads
540,2023-10-11,Australia,tablet,email
541,2024-04-30,Canada,mobile,direct
542,2023-11-23,India,tablet,google_ads
543,2024-01-09,Australia,desktop,referral
544,2023-04-21,India,tablet,organic_search
545,2023-07-22,Brazil,tablet,google_ads
546,2024-01-21,Singapore,mobile,google_ads
547,2024-03-31,Singapore,tablet,facebook_ads
548,2023-06-22,Canada,mobile,organic_search
549,2023-10-27,Germany,tablet,facebook_ads
550,2023-08-26,Australia,desktop,direct
551,2023-03-20,Brazil,desktop,organic_search
552,2024-05-29,India,tablet,direct
553,2024-04-15,Germany,mobile,email
554,2023-08-12,Singapore,desktop,referral
555,2024-02-15,UK,desktop,referral
556,2023-07-21,Germany,tablet,google_ads
557,2023-07-25,US,mobile,direct
558,2023-10-23,UK,desktop,direct
559,2023-01-20,Canada,tablet,referral
560,2024-06-10,UK,tablet,email
561,2023-04-27,Brazil,desktop,organic_search
562,2023-02-25,US,mobile,email
563,2024-02-25,Australia,mobile,referral
564,2024-05-05,Singapore,tablet,direct
565,2023-04-11,UK,mobile,direct
566,2023-10-19,US,tablet,email
567,2023-03-26,Singapore,tablet,google_ads
568,2024-04-02,Canada,desktop,email
569,2024-04-12,Australia,tablet,direct
570,2023-10-02,Australia,desktop,google_ads
571,2023-03-15,Brazil,desktop,direct
572,2023-08-14,UK,tablet,referral
573,2023-05-25,Singapore,desktop,referral
574,2023-04-12,Germany,mobile,organic_search
575,2024-01-18,US,mobile,organic_search
576,2024-04-03,Brazil,tablet,email
577,2023-02-02,Brazil,mobile,organic_search
578,2024-04-14,UK,desktop,google_ads
579,2023-09-16,Canada,desktop,direct
580,2023-08-19,India,desktop,organic_search
581,2024-01-09,UK,mobile,direct
582,2023-08-22,UK,tablet,direct
583,2023-03-15,Singapore,mobile,google_ads
584,2024-03-16,Canada,tablet,referral
585,2023-10-22,UK,desktop,facebook_ads
586,2023-02-18,US,tablet,facebook_ads
587,2023-12-11,Brazil,tablet,direct
588,2023-08-26,UK,tablet,direct
589,2023-08-27,Canada,mobile,email
590,2023-11-21,Brazil,mobile,facebook_ads
591,2023-11-09,Singapore,desktop,direct
592,2024-01-01,Singapore,tablet,google_ads
593,2023-09-11,Canada,desktop,google_ads
594,2024-05-14,Brazil,mobile,email
595,2023-04-21,Singapore,tablet,email
596,2023-07-28,Brazil,desktop,email
597,2024-03-22,Australia,desktop,direct
598,2023-12-06,Germany,desktop,organic_search
599,2023-09-11,UK,desktop,referral
600,2024-05-13,Australia,tablet,google_ads
601,2023-10-06,US,tablet,referral
602,2023-01-04,US,mobile,direct
603,2023-11-30,India,tablet,google_ads
604,2023-06-06,Singapore,desktop,email
605,2023-07-18,Canada,tablet,direct
606,2024-05-06,Australia,mobile,referral
607,2023-08-19,India,mobile,organic_search
608,2023-07-29,Singapore,desktop,direct
609,2023-11-18,US,desktop,google_ads
610,2023-12-02,Canada,desktop,google_ads
611,2024-02-01,Brazil,mobile,email
612,2023-12-07,Brazil,desktop,google_ads
613,2023-10-03,India,mobile,email
614,2023-01-17,Brazil,tablet,organic_search
615,2023-01-23,Singapore,desktop,email
616,2024-04-16,UK,mobile,direct
617,2023-07-24,Germany,tablet,facebook_ads
618,2023-01-09,Brazil,tablet,google_ads
619,2024-03-09,US,tablet,referral
620,2024-03-04,UK,desktop,email
621,2023-03-19,Singapore,tablet,organic_search
622,2024-05-17,Canada,desktop,organic_search
623,2024-01-26,India,desktop,referral
624,2023-09-04,Singapore,tablet,referral
625,2024-06-19,Germany,tablet,referral
626,2023-02-06,Germany,desktop,google_ads
627,2024-06-14,Germany,tablet,referral
628,2023-11-04,UK,desktop,referral
629,2024-03-17,UK,mobile,organic_search
630,2023-09-19,UK,desktop,referral
631,2023-12-02,Canada,mobile,organic_search
632,2023-04-20,Brazil,desktop,direct
633,2023-06-20,Singapore,tablet,google_ads
634,2024-05-25,UK,tablet,organic_search
635,2023-10-02,Canada,desktop,referral
636,2023-10-13,Singapore,tablet,direct
637,2023-09-07,Canada,desktop,email
638,2023-12-13,UK,mobile,email
639,2024-04-07,Brazil,desktop,organic_search
640,2023-10-27,Brazil,mobile,facebook_ads
641,2024-02-11,Canada,mobile,email
642,2023-10-18,India,mobile,email
643,2024-01-09,US,desktop,email
644,2023-12-23,Australia,tablet,organic_search
645,2023-05-10,Brazil,desktop,facebook_ads
646,2023-01-29,Australia,desktop,organic_search
647,2023-08-22,US,mobile,organic_search
648,2023-03-26,India,desktop,referral
649,2023-08-08,Germany,desktop,email
650,2023-01-25,Australia,tablet,direct
651,2023-10-20,Brazil,mobile,email
652,2023-04-20,Singapore,tablet,facebook_ads
653,2023-11-19,India,mobile,email
654,2023-12-20,Australia,desktop,email
655,2023-08-18,Brazil,desktop,direct
656,2023-12-22,India,desktop,facebook_ads
657,2023-09-02,Australia,mobile,facebook_ads
658,2023-05-25,UK,mobile,referral
659,2023-01-31,Canada,tablet,organic_search
660,2024-01-07,Germany,desktop,organic_search
661,2023-11-05,Germany,mobile,email
662,2024-05-03,Canada,tablet,google_ads
663,2024-04-23,Brazil,mobile,email
664,2024-02-08,Singapore,desktop,direct
665,2023-07-11,Australia,tablet,referral
666,2023-03-04,Brazil,mobile,facebook_ads
667,2023-05-26,Australia,tablet,organic_search
668,2023-03-27,Singapore,mobile,email
669,2023-05-06,Brazil,tablet,email
670,2024-02-28,Singapore,tablet,organic_search
671,2023-05-03,Brazil,mobile,organic_search
672,2023-10-21,UK,desktop,organic_search
